table_schema|table_name|column_name
bookings|aircrafts|['range integer', 'model text', 'aircraft_code character']
bookings|aircrafts_data|['range integer', 'aircraft_code character', 'model jsonb']
bookings|airports|['airport_code character', 'timezone text', 'city text', 'airport_name text', 'coordinates point']
bookings|airports_data|['airport_name jsonb', 'city jsonb', 'coordinates point', 'timezone text', 'airport_code character']
bookings|boarding_passes|['flight_id integer', 'boarding_no integer', 'ticket_no character', 'seat_no character varying']
bookings|bookings|['book_date timestamp with time zone', 'total_amount numeric', 'book_ref character']
bookings|flights|['flight_no character', 'arrival_airport character', 'aircraft_code character', 'scheduled_departure timestamp with time zone', 'status character varying', 'actual_departure timestamp with time zone', 'scheduled_arrival timestamp with time zone', 'flight_id integer', 'actual_arrival timestamp with time zone', 'departure_airport character']
bookings|flights_v|['scheduled_departure_local timestamp without time zone', 'status character varying', 'arrival_city text', 'departure_airport character', 'departure_city text', 'flight_no character', 'flight_id integer', 'actual_departure_local timestamp without time zone', 'departure_airport_name text', 'actual_arrival_local timestamp without time zone', 'scheduled_arrival timestamp with time zone', 'scheduled_duration interval', 'actual_departure timestamp with time zone', 'actual_duration interval', 'scheduled_arrival_local timestamp without time zone', 'arrival_airport character', 'scheduled_departure timestamp with time zone', 'actual_arrival timestamp with time zone', 'aircraft_code character', 'arrival_airport_name text']
bookings|routes|['departure_airport character', 'arrival_airport character', 'days_of_week int4 array', 'departure_airport_name text', 'aircraft_code character', 'arrival_airport_name text', 'flight_no character', 'departure_city text', 'arrival_city text', 'duration interval']
bookings|seats|['aircraft_code character', 'seat_no character varying', 'fare_conditions character varying']
bookings|ticket_flights|['ticket_no character', 'amount numeric', 'fare_conditions character varying', 'flight_id integer']
bookings|tickets|['ticket_no character', 'passenger_name text', 'book_ref character', 'contact_data jsonb', 'passenger_id character varying']
