table_name|constraint_name|columns|constraint_type|foreign_table|column_name
bookings.boarding_passes|boarding_passes_flight_id_boarding_no_key|flight_id,boarding_no|U|bookings.boarding_passes|flight_id,boarding_no
bookings.boarding_passes|boarding_passes_flight_id_seat_no_key|flight_id,seat_no|U|bookings.boarding_passes|flight_id,seat_no
bookings.flights|flights_flight_no_scheduled_departure_key|scheduled_departure,flight_no|U|bookings.flights|flight_no,scheduled_departure
bookings.aircrafts_data|aircrafts_pkey|aircraft_code|P|bookings.aircrafts_data|aircraft_code
bookings.airports_data|airports_data_pkey|airport_code|P|bookings.airports_data|airport_code
bookings.boarding_passes|boarding_passes_pkey|ticket_no,flight_id|P|bookings.boarding_passes|flight_id,ticket_no
bookings.bookings|bookings_pkey|book_ref|P|bookings.bookings|book_ref
bookings.flights|flights_pkey|flight_id|P|bookings.flights|flight_id
bookings.seats|seats_pkey|seat_no,aircraft_code|P|bookings.seats|seat_no,aircraft_code
bookings.ticket_flights|ticket_flights_pkey|flight_id,ticket_no|P|bookings.ticket_flights|ticket_no,flight_id
bookings.tickets|tickets_pkey|ticket_no|P|bookings.tickets|ticket_no
bookings.boarding_passes|boarding_passes_ticket_no_fkey|flight_id,ticket_no|F|bookings.ticket_flights|flight_id,ticket_no
bookings.flights|flights_aircraft_code_fkey|aircraft_code|F|bookings.aircrafts_data|aircraft_code
bookings.flights|flights_arrival_airport_fkey|arrival_airport|F|bookings.airports_data|airport_code
bookings.flights|flights_departure_airport_fkey|departure_airport|F|bookings.airports_data|airport_code
bookings.seats|seats_aircraft_code_fkey|aircraft_code|F|bookings.aircrafts_data|aircraft_code
bookings.ticket_flights|ticket_flights_flight_id_fkey|flight_id|F|bookings.flights|flight_id
bookings.ticket_flights|ticket_flights_ticket_no_fkey|ticket_no|F|bookings.tickets|ticket_no
bookings.tickets|tickets_book_ref_fkey|book_ref|F|bookings.bookings|book_ref
